vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
opshin,coop-5,38240000,38240000,33229999,53860000,6500000,53
plutuz,coop-5,368617,363892,348604,653846,15955,10000
uplc-turbo,coop-5,192956,191378,182606,308435,14063,100
blaze-jsc,coop-6,2132400,2132400,1910000,2766100,21110,235
blaze-v8,coop-6,2188700,2188700,1935700,3098200,24075,229
haskell,coop-6,332564,332564,331998,333534,3213,0
opshin,coop-6,17970000,17970000,15940000,33840000,4290000,112
plutuz,coop-6,499279,496228,475645,1064573,16631,10000
uplc-turbo,coop-6,147513,147457,137024,167623,6291,100
blaze-jsc,coop-7,1048300,1048300,911400,1490800,11111,477
blaze-v8,coop-7,1074200,1074200,951300,1559100,11816,466
haskell,coop-7,155867,155867,155307,156532,2587,0
opshin,coop-7,17270000,17270000,15160000,33130000,4190000,116
plutuz,coop-7,269241,264352,257583,913346,12416,10000
uplc-turbo,coop-7,123153,123976,97955,154808,12626,100
blaze-jsc,crowdfunding-success-1,636600,636600,545900,1189200,8466,786
blaze-v8,crowdfunding-success-1,659000,659000,566700,1509300,9028,759
haskell,crowdfunding-success-1,104054,104054,103669,104683,2123,0
opshin,crowdfunding-success-1,109950000,109950000,106030000,128699999,7030000,20
plutuz,crowdfunding-success-1,236282,230192,223183,4571438,45325,10000
scalus-cek,crowdfunding-success-1,140350,140350,140350,140350,0,1
scalus-jit,crowdfunding-success-1,32126,32126,32126,32126,0,1
uplc-turbo,crowdfunding-success-1,293243,292461,290389,301074,2423,100
blaze-jsc,crowdfunding-success-2,635500,635500,542600,1079800,8515,788
blaze-v8,crowdfunding-success-2,664000,664000,567700,1099900,8897,753
haskell,crowdfunding-success-2,103988,103988,103642,104494,1787,0
opshin,crowdfunding-success-2,113070000,113070000,109160000,129820000,6250000,20
plutuz,crowdfunding-success-2,236916,229602,222156,3462039,35682,10000
scalus-cek,crowdfunding-success-2,140314,140314,140314,140314,0,1
scalus-jit,crowdfunding-success-2,33571,33571,33571,33571,0,1
uplc-turbo,crowdfunding-success-2,292465,292394,289059,302040,2282,100
blaze-jsc,crowdfunding-success-3,634800,634800,542600,1113900,8379,788
blaze-v8,crowdfunding-success-3,659900,659900,567200,1136800,8776,759
haskell,crowdfunding-success-3,101667,101667,101452,102204,1379,0
opshin,crowdfunding-success-3,110110000,110110000,106550000,125840000,5210000,20
plutuz,crowdfunding-success-3,232913,227984,221600,901024,13259,10000
scalus-cek,crowdfunding-success-3,139284,139284,139284,139284,0,1
scalus-jit,crowdfunding-success-3,32048,32048,32048,32048,0,1
uplc-turbo,crowdfunding-success-3,299375,299463,291201,325431,7181,100
blaze-jsc,currency-1,709700,709700,595400,1490100,9793,705
blaze-v8,currency-1,708000,708000,607700,1163200,9487,707
haskell,currency-1,123175,123175,122840,123542,1491,0
opshin,currency-1,134880000,134880000,131240000,149060000,5710000,20
plutuz,currency-1,258778,253005,247132,356873,11835,10000
scalus-cek,currency-1,221136,221136,221136,221136,0,1
scalus-jit,currency-1,29617,29617,29617,29617,0,1
uplc-turbo,currency-1,323093,321670,319244,337148,3096,100
blaze-jsc,escrow-redeem_1-1,986700,986700,841600,2158600,15491,507
blaze-v8,escrow-redeem_1-1,1025700,1025700,863200,1717800,16308,488
haskell,escrow-redeem_1-1,178365,178365,177791,178920,2519,0
opshin,escrow-redeem_1-1,179490000,179490000,174180000,196040000,7840000,20
plutuz,escrow-redeem_1-1,352183,347348,334910,967635,15669,10000
scalus-cek,escrow-redeem_1-1,245379,245379,245379,245379,0,1
scalus-jit,escrow-redeem_1-1,62124,62124,62124,62124,0,1
uplc-turbo,escrow-redeem_1-1,457325,450466,442195,542353,18218,100
blaze-jsc,escrow-redeem_1-2,989900,989900,834400,1910100,15442,506
blaze-v8,escrow-redeem_1-2,1017500,1017500,861400,1602900,15771,492
haskell,escrow-redeem_1-2,174444,174444,173610,175271,3519,0
opshin,escrow-redeem_1-2,182200000,182200000,175500000,199020000,7620000,20
plutuz,escrow-redeem_1-2,356245,350698,334296,2333475,28348,10000
scalus-cek,escrow-redeem_1-2,247276,247276,247276,247276,0,1
scalus-jit,escrow-redeem_1-2,61496,61496,61496,61496,0,1
uplc-turbo,escrow-redeem_1-2,448645,446728,443280,461055,4992,100
blaze-jsc,escrow-redeem_2-1,1130200,1130200,967500,2000900,17292,443
blaze-v8,escrow-redeem_2-1,1163800,1163800,986800,1637900,17689,430
haskell,escrow-redeem_2-1,201252,201252,200544,202055,3152,0
opshin,escrow-redeem_2-1,210100000,210100000,204740000,227510000,8010000,20
plutuz,escrow-redeem_2-1,388323,383307,367829,3096125,32585,10000
scalus-cek,escrow-redeem_2-1,288247,288247,288247,288247,0,1
scalus-jit,escrow-redeem_2-1,71292,71292,71292,71292,0,1
uplc-turbo,escrow-redeem_2-1,506081,501079,494879,532627,9509,100
blaze-jsc,escrow-redeem_2-2,1127000,1127000,948500,1592300,17130,444
blaze-v8,escrow-redeem_2-2,1166400,1166400,989300,1790500,17962,429
haskell,escrow-redeem_2-2,205651,205651,203974,209387,9871,0
opshin,escrow-redeem_2-2,210870000,210870000,203820000,225530000,7880000,20
plutuz,escrow-redeem_2-2,388819,383448,367301,1446604,21369,10000
scalus-cek,escrow-redeem_2-2,293484,293484,293484,293484,0,1
scalus-jit,escrow-redeem_2-2,70490,70490,70490,70490,0,1
uplc-turbo,escrow-redeem_2-2,502169,501599,497623,517612,3119,100
blaze-jsc,escrow-redeem_2-3,1129700,1129700,958700,1621700,17171,443
blaze-v8,escrow-redeem_2-3,1152700,1152700,981900,1703600,17636,434
haskell,escrow-redeem_2-3,207421,207421,205555,210477,10170,0
opshin,escrow-redeem_2-3,209530000,209530000,204160000,225970000,7320000,20
plutuz,escrow-redeem_2-3,390791,383912,366589,3037284,33515,10000
scalus-cek,escrow-redeem_2-3,297988,297988,297988,297988,0,1
scalus-jit,escrow-redeem_2-3,67400,67400,67400,67400,0,1
uplc-turbo,escrow-redeem_2-3,502212,499562,493393,518538,6917,100
blaze-jsc,escrow-refund-1,525400,525400,440300,1109200,8301,952
blaze-v8,escrow-refund-1,545000,545000,448900,1242800,8938,918
haskell,escrow-refund-1,80621,80621,78711,84683,11802,0
opshin,escrow-refund-1,100810000,100810000,96820000,117590000,6680000,20
plutuz,escrow-refund-1,227333,221597,215978,1927282,21555,10000
scalus-cek,escrow-refund-1,104079,104079,104079,104079,0,1
scalus-jit,escrow-refund-1,15842,15842,15842,15842,0,1
uplc-turbo,escrow-refund-1,268475,262232,255947,334603,15717,100
blaze-jsc,future-increase-margin-1,693100,693100,597200,1168600,9218,722
blaze-v8,future-increase-margin-1,695100,695100,595600,1277400,9175,720
haskell,future-increase-margin-1,126214,126214,124877,128568,7680,0
opshin,future-increase-margin-1,140490000,140490000,136480000,156050000,5910000,20
plutuz,future-increase-margin-1,257126,251435,245025,388856,11996,10000
scalus-cek,future-increase-margin-1,177743,177743,177743,177743,0,1
scalus-jit,future-increase-margin-1,27365,27365,27365,27365,0,1
uplc-turbo,future-increase-margin-1,322493,319828,317540,340710,4724,100
blaze-jsc,future-increase-margin-2,1449800,1449800,1239200,1884500,21891,345
blaze-v8,future-increase-margin-2,1489300,1489300,1246800,2193300,24573,336
haskell,future-increase-margin-2,264257,264257,262871,267519,8691,0
opshin,future-increase-margin-2,268710000,268710000,258870000,297680000,9610000,20
plutuz,future-increase-margin-2,466242,463614,446185,650231,14957,10000
scalus-cek,future-increase-margin-2,394352,394352,394352,394352,0,1
scalus-jit,future-increase-margin-2,99112,99112,99112,99112,0,1
uplc-turbo,future-increase-margin-2,646669,644500,629064,726091,13991,100
blaze-jsc,future-increase-margin-3,1463200,1463200,1238700,2424300,23703,342
blaze-v8,future-increase-margin-3,1473800,1473800,1259200,2309700,23580,340
haskell,future-increase-margin-3,307545,307545,300616,315294,32480,0
opshin,future-increase-margin-3,263510000,263510000,257269999,281220000,7820000,20
plutuz,future-increase-margin-3,470904,467045,447589,1168237,18977,10000
scalus-cek,future-increase-margin-3,411276,411276,411276,411276,0,1
scalus-jit,future-increase-margin-3,112727,112727,112727,112727,0,1
uplc-turbo,future-increase-margin-3,632530,636021,622513,648093,7437,100
blaze-jsc,future-increase-margin-4,1448800,1448800,1269200,1988500,17820,346
blaze-v8,future-increase-margin-4,1459700,1459700,1264300,2182400,19122,343
haskell,future-increase-margin-4,276747,276747,266593,292314,51143,0
opshin,future-increase-margin-4,-1,-1,-1,-1,-1,0
plutuz,future-increase-margin-4,593245,585154,549520,1162098,27605,8429
scalus-cek,future-increase-margin-4,362416,362416,362416,362416,0,1
scalus-jit,future-increase-margin-4,614189,614189,614189,614189,0,1
uplc-turbo,future-increase-margin-4,683843,684108,674644,700113,5542,100
blaze-jsc,future-increase-margin-5,3626600,3626600,3048600,4513900,73982,138
blaze-v8,future-increase-margin-5,3543000,3543000,2989100,4462900,69442,142
haskell,future-increase-margin-5,497163,497163,485676,508639,51300,0
opshin,future-increase-margin-5,-1,-1,-1,-1,-1,0
plutuz,future-increase-margin-5,856696,851220,803590,2503530,40853,5837
scalus-cek,future-increase-margin-5,635380,635380,635380,635380,0,1
scalus-jit,future-increase-margin-5,1225467,1225467,1225467,1225467,0,1
uplc-turbo,future-increase-margin-5,990290,991060,973659,1043715,9232,100
blaze-jsc,future-pay-out-1,725800,725800,601600,1409900,13136,689
blaze-v8,future-pay-out-1,713600,713600,598200,1570000,10775,701
haskell,future-pay-out-1,139828,139828,135812,144544,19775,0
opshin,future-pay-out-1,134940000,134940000,132199999,152020000,5480000,20
plutuz,future-pay-out-1,257435,250872,243241,414594,15032,10000
scalus-cek,future-pay-out-1,175666,175666,175666,175666,0,1
scalus-jit,future-pay-out-1,32030,32030,32030,32030,0,1
uplc-turbo,future-pay-out-1,320676,320632,318321,336816,2150,100
blaze-jsc,future-pay-out-2,1527700,1527700,1258800,2587600,30095,328
blaze-v8,future-pay-out-2,1492000,1492000,1256000,2080800,24170,336
haskell,future-pay-out-2,274755,274755,272167,279329,15187,0
opshin,future-pay-out-2,267480000,267480000,258230000,284250000,7680000,20
plutuz,future-pay-out-2,462786,459875,440748,889268,15344,10000
scalus-cek,future-pay-out-2,391563,391563,391563,391563,0,1
scalus-jit,future-pay-out-2,114930,114930,114930,114930,0,1
uplc-turbo,future-pay-out-2,633502,627239,622566,650315,9802,100
blaze-jsc,future-pay-out-3,1577300,1577300,1270500,2886500,35331,318
blaze-v8,future-pay-out-3,1499300,1499300,1251400,2757800,25787,334
haskell,future-pay-out-3,288627,288627,281734,301015,40399,0
opshin,future-pay-out-3,266550000,266550000,259380000,284260000,6860000,20
plutuz,future-pay-out-3,465639,461276,444801,4547951,45289,10000
scalus-cek,future-pay-out-3,391017,391017,391017,391017,0,1
scalus-jit,future-pay-out-3,97647,97647,97647,97647,0,1
uplc-turbo,future-pay-out-3,622753,622682,618726,634712,2384,100
blaze-jsc,future-pay-out-4,3652000,3652000,3039700,4677000,77057,138
blaze-v8,future-pay-out-4,3548600,3548600,3016000,4300200,66713,141
haskell,future-pay-out-4,443424,443424,436690,456077,38840,0
opshin,future-pay-out-4,-1,-1,-1,-1,-1,0
plutuz,future-pay-out-4,850501,847881,807468,1159818,25679,5879
scalus-cek,future-pay-out-4,623845,623845,623845,623845,0,1
scalus-jit,future-pay-out-4,1356070,1356070,1356070,1356070,0,1
uplc-turbo,future-pay-out-4,980838,983969,958255,1052303,12691,100
blaze-jsc,future-settle-early-1,748600,748600,607700,1397400,13774,668
blaze-v8,future-settle-early-1,724200,724200,604100,1491100,10863,691
haskell,future-settle-early-1,140750,140750,137774,144551,14930,0
opshin,future-settle-early-1,134820000,134820000,130830000,150500000,6540000,20
plutuz,future-settle-early-1,260168,254503,248684,1381198,16316,10000
scalus-cek,future-settle-early-1,182006,182006,182006,182006,0,1
scalus-jit,future-settle-early-1,27512,27512,27512,27512,0,1
uplc-turbo,future-settle-early-1,319989,319616,317392,324975,1912,100
blaze-jsc,future-settle-early-2,1540700,1540700,1255400,2445700,29273,325
blaze-v8,future-settle-early-2,1501100,1501100,1267700,2220200,24317,334
haskell,future-settle-early-2,273914,273914,271762,276437,9637,0
opshin,future-settle-early-2,263740000,263740000,256100000,279460000,6760000,20
plutuz,future-settle-early-2,470929,467483,446550,971911,16796,10000
scalus-cek,future-settle-early-2,388291,388291,388291,388291,0,1
scalus-jit,future-settle-early-2,105010,105010,105010,105010,0,1
uplc-turbo,future-settle-early-2,629630,622380,619637,661062,10932,100
blaze-jsc,future-settle-early-3,1531800,1531800,1263300,2202000,28797,327
blaze-v8,future-settle-early-3,1497300,1497300,1264400,1943800,24256,334
haskell,future-settle-early-3,266812,266812,265061,268495,7640,0
opshin,future-settle-early-3,268200000,268200000,263120000,284030000,7770000,20
plutuz,future-settle-early-3,467909,463323,446158,2824788,29547,10000
scalus-cek,future-settle-early-3,388498,388498,388498,388498,0,1
scalus-jit,future-settle-early-3,93959,93959,93959,93959,0,1
uplc-turbo,future-settle-early-3,632667,629709,619553,677473,8943,100
blaze-jsc,future-settle-early-4,3082300,3082300,2609500,3916400,64728,163
blaze-v8,future-settle-early-4,3014800,3014800,2583400,3952800,61501,166
haskell,future-settle-early-4,341142,341142,335857,353355,32364,0
opshin,future-settle-early-4,-1,-1,-1,-1,-1,0
plutuz,future-settle-early-4,690607,687252,654053,4182887,47971,7241
scalus-cek,future-settle-early-4,476152,476152,476152,476152,0,1
scalus-jit,future-settle-early-4,1164254,1164254,1164254,1164254,0,1
uplc-turbo,future-settle-early-4,772687,772001,764847,789232,5626,100
blaze-jsc,game-sm-success_1-1,1302700,1302700,1026200,2392300,31395,384
blaze-v8,game-sm-success_1-1,1251300,1251300,1010999,1994200,26777,400
haskell,game-sm-success_1-1,222382,222382,215561,237355,41063,0
opshin,game-sm-success_1-1,220460000,220460000,210210000,239290000,9380000,20
plutuz,game-sm-success_1-1,457517,450470,433360,3119082,33391,10000
scalus-cek,game-sm-success_1-1,274514,274514,274514,274514,0,1
scalus-jit,game-sm-success_1-1,407086,407086,407086,407086,0,1
uplc-turbo,game-sm-success_1-1,539183,539618,534183,546673,2487,100
blaze-jsc,game-sm-success_1-2,673600,673600,560400,1674000,11114,743
blaze-v8,game-sm-success_1-2,598000,598000,521700,1368200,6697,837
haskell,game-sm-success_1-2,103944,103944,101257,107456,12765,0
opshin,game-sm-success_1-2,98390000,98390000,95010000,113350000,6030000,21
plutuz,game-sm-success_1-2,200233,194884,190303,327306,12013,10000
scalus-cek,game-sm-success_1-2,135263,135263,135263,135263,0,1
scalus-jit,game-sm-success_1-2,31626,31626,31626,31626,0,1
uplc-turbo,game-sm-success_1-2,269895,268812,265550,276770,3207,100
blaze-jsc,game-sm-success_1-3,2100700,2100700,1628100,3087800,54198,239
blaze-v8,game-sm-success_1-3,1876200,1876200,1532100,2678900,39587,267
haskell,game-sm-success_1-3,359939,359939,351600,369485,39845,0
opshin,game-sm-success_1-3,326140000,326140000,316230000,342080000,9290000,20
plutuz,game-sm-success_1-3,618666,610310,581626,876973,25542,8082
scalus-cek,game-sm-success_1-3,479313,479313,479313,479313,0,1
scalus-jit,game-sm-success_1-3,525665,525665,525665,525665,0,1
uplc-turbo,game-sm-success_1-3,768728,768447,762180,803180,5536,100
blaze-jsc,game-sm-success_1-4,732500,732500,608700,1337100,12232,684
blaze-v8,game-sm-success_1-4,704300,704300,607400,1203900,9085,710
haskell,game-sm-success_1-4,116381,116381,115284,118233,6205,0
opshin,game-sm-success_1-4,108500000,108500000,104980000,124540000,5350000,20
plutuz,game-sm-success_1-4,225383,220290,213576,322829,12240,10000
scalus-cek,game-sm-success_1-4,155790,155790,155790,155790,0,1
scalus-jit,game-sm-success_1-4,36134,36134,36134,36134,0,1
uplc-turbo,game-sm-success_1-4,308384,310357,302718,319597,3855,100
blaze-jsc,game-sm-success_2-1,1265000,1265000,1024899,2056800,29348,396
blaze-v8,game-sm-success_2-1,1249200,1249200,1022600,2176700,26483,401
haskell,game-sm-success_2-1,200303,200303,199037,201959,5898,0
opshin,game-sm-success_2-1,219880000,219880000,211770000,234490000,8320000,20
plutuz,game-sm-success_2-1,470202,461939,441691,4769801,48229,10000
scalus-cek,game-sm-success_2-1,273537,273537,273537,273537,0,1
scalus-jit,game-sm-success_2-1,431620,431620,431620,431620,0,1
uplc-turbo,game-sm-success_2-1,540247,542443,530787,547908,4853,100
blaze-jsc,game-sm-success_2-2,615900,615900,525600,1565500,9546,812
blaze-v8,game-sm-success_2-2,601100,601100,523499,1326700,6912,832
haskell,game-sm-success_2-2,97410,97410,97107,97690,1279,0
opshin,game-sm-success_2-2,97330000,97330000,93830000,113310000,5390000,21
plutuz,game-sm-success_2-2,205217,199440,193853,505536,13693,10000
scalus-cek,game-sm-success_2-2,137189,137189,137189,137189,0,1
scalus-jit,game-sm-success_2-2,32435,32435,32435,32435,0,1
uplc-turbo,game-sm-success_2-2,267758,266810,265061,277055,2668,100
blaze-jsc,game-sm-success_2-3,1929400,1929400,1544000,2951600,44762,260
blaze-v8,game-sm-success_2-3,1860700,1860700,1531900,2666300,37958,269
haskell,game-sm-success_2-3,322107,322107,319703,326658,13890,0
opshin,game-sm-success_2-3,332620000,332620000,322390000,348990000,8670000,20
plutuz,game-sm-success_2-3,625266,621650,584506,1045610,31467,7997
scalus-cek,game-sm-success_2-3,464178,464178,464178,464178,0,1
scalus-jit,game-sm-success_2-3,557037,557037,557037,557037,0,1
uplc-turbo,game-sm-success_2-3,767779,768294,758954,774459,3859,100
blaze-jsc,game-sm-success_2-4,723200,723200,606100,1528500,12149,692
blaze-v8,game-sm-success_2-4,708700,708700,611200,1346300,9425,706
haskell,game-sm-success_2-4,110575,110575,110161,111828,2783,0
opshin,game-sm-success_2-4,108700000,108700000,106580000,125540000,4000000,20
plutuz,game-sm-success_2-4,222057,216823,211116,866722,13381,10000
scalus-cek,game-sm-success_2-4,155382,155382,155382,155382,0,1
scalus-jit,game-sm-success_2-4,36651,36651,36651,36651,0,1
uplc-turbo,game-sm-success_2-4,305229,303492,301496,316535,3432,100
blaze-jsc,game-sm-success_2-5,1912500,1912500,1545300,2684400,42075,262
blaze-v8,game-sm-success_2-5,1886600,1886600,1535900,2622500,38863,266
haskell,game-sm-success_2-5,313313,313313,312657,315082,4225,0
opshin,game-sm-success_2-5,331150000,331150000,320330000,347360000,8369999,20
plutuz,game-sm-success_2-5,628819,628190,581100,4950511,57029,7952
scalus-cek,game-sm-success_2-5,492073,492073,492073,492073,0,1
scalus-jit,game-sm-success_2-5,564589,564589,564589,564589,0,1
uplc-turbo,game-sm-success_2-5,769314,771741,758080,782411,6699,100
blaze-jsc,game-sm-success_2-6,727700,727700,611000,1477800,12370,688
blaze-v8,game-sm-success_2-6,737000,737000,612200,1624200,11349,679
haskell,game-sm-success_2-6,112248,112248,111522,113339,3682,0
opshin,game-sm-success_2-6,107570000,107570000,104700000,123380000,5290000,20
plutuz,game-sm-success_2-6,226888,219755,212575,3954282,40009,10000
scalus-cek,game-sm-success_2-6,157657,157657,157657,157657,0,1
scalus-jit,game-sm-success_2-6,36994,36994,36994,36994,0,1
uplc-turbo,game-sm-success_2-6,309833,311092,303224,314518,3144,100
blaze-jsc,guardrail-sorted-large,1527100,1527100,1267200,2400800,27945,328
blaze-v8,guardrail-sorted-large,1437400,1437400,1224200,2071899,20842,348
haskell,guardrail-sorted-large,216035,216035,215288,217031,3742,0
opshin,guardrail-sorted-large,19630000,19630000,17630000,34670000,4150000,103
plutuz,guardrail-sorted-large,322033,317049,303239,950703,17233,10000
uplc-turbo,guardrail-sorted-large,218179,200485,182023,343191,31569,100
blaze-jsc,guardrail-sorted-small,278300,278300,232100,893600,4341,1797
blaze-v8,guardrail-sorted-small,264000,264000,223700,819500,3141,1894
haskell,guardrail-sorted-small,32961,32961,32898,33029,281,0
opshin,guardrail-sorted-small,15350000,15350000,13550000,30570000,4030000,131
plutuz,guardrail-sorted-small,93818,91221,89275,147734,6747,10000
uplc-turbo,guardrail-sorted-small,111958,111610,102301,122243,4305,100
blaze-jsc,guardrail-unsorted-large,2032200,2032200,1702200,2772600,33124,247
blaze-v8,guardrail-unsorted-large,1913900,1913900,1627600,2870400,28708,262
haskell,guardrail-unsorted-large,294510,294510,293186,296352,6436,0
opshin,guardrail-unsorted-large,19690000,19690000,17550000,35370000,4440000,102
plutuz,guardrail-unsorted-large,418868,414951,398154,1279519,17108,10000
uplc-turbo,guardrail-unsorted-large,198384,192032,160846,298108,26077,100
blaze-jsc,guardrail-unsorted-small,272000,272000,225100,789700,4297,1839
blaze-v8,guardrail-unsorted-small,259900,259900,219400,747300,3300,1924
haskell,guardrail-unsorted-small,32804,32804,32706,32921,454,0
opshin,guardrail-unsorted-small,15630000,15630000,13720000,31410000,4080000,128
plutuz,guardrail-unsorted-small,93537,90789,88637,176760,7054,10000
uplc-turbo,guardrail-unsorted-small,109794,111401,75010,141269,14450,100
blaze-jsc,multisig-sm-01,1341000,1341000,1070400,2236600,33122,373
blaze-v8,multisig-sm-01,1313500,1313500,1054700,2256400,30735,381
haskell,multisig-sm-01,203380,203380,202450,204979,5273,0
opshin,multisig-sm-01,-1,-1,-1,-1,-1,0
plutuz,multisig-sm-01,503513,495084,472719,1018053,22625,9931
scalus-cek,multisig-sm-01,281131,281131,281131,281131,0,1
scalus-jit,multisig-sm-01,502241,502241,502241,502241,0,1
uplc-turbo,multisig-sm-01,560853,560626,549418,613979,7825,100
blaze-jsc,multisig-sm-02,1311200,1311200,1059100,2108100,31206,382
blaze-v8,multisig-sm-02,1286400,1286400,1059700,2103100,27914,389
